Year,Month,Day,Day of Year,Anomaly,Temperature,Month_Name
1880,1,1,1,-0.692,7.898,January
1880,1,2,2,-0.592,7.998,January
1880,1,3,3,-0.673,7.917,January
1880,1,4,4,-0.615,7.975,January
1880,1,5,5,-0.681,7.909,January
1880,1,6,6,-0.743,7.8469999999999995,January
1880,1,7,7,-0.646,7.944,January
1880,1,8,8,-0.716,7.874,January
1880,1,9,9,-0.984,7.606,January
1880,1,10,10,-0.937,7.653,January
1880,1,11,11,-1.125,7.465,January
1880,1,12,12,-1.283,7.307,January
1880,1,13,13,-1.108,7.481999999999999,January
1880,1,14,14,-0.96,7.63,January
1880,1,15,15,-0.865,7.725,January
1880,1,16,16,-0.753,7.837,January
1880,1,17,17,-0.511,8.079,January
1880,1,18,18,-0.678,7.912,January
1880,1,19,19,-0.766,7.824,January
1880,1,20,20,-0.875,7.715,January
1880,1,21,21,-0.913,7.677,January
1880,1,22,22,-0.812,7.778,January
1880,1,23,23,-0.744,7.846,January
1880,1,24,24,-0.762,7.827999999999999,January
1880,1,25,25,-0.9,7.6899999999999995,January
1880,1,26,26,-1.07,7.52,January
1880,1,27,27,-1.26,7.33,January
1880,1,28,28,-1.385,7.205,January
1880,1,29,29,-1.339,7.2509999999999994,January
1880,1,30,30,-1.288,7.302,January
1880,1,31,31,-1.196,7.394,January
1880,2,1,32,-1.254,7.336,February
1880,2,2,33,-1.327,7.263,February
1880,2,3,34,-1.463,7.127,February
1880,2,4,35,-1.471,7.119,February
1880,2,5,36,-1.361,7.229,February
1880,2,6,37,-1.439,7.151,February
1880,2,7,38,-1.481,7.109,February
1880,2,8,39,-1.445,7.145,February
1880,2,9,40,-1.348,7.242,February
1880,2,10,41,-1.245,7.345,February
1880,2,11,42,-1.184,7.406,February
1880,2,12,43,-1.232,7.358,February
1880,2,13,44,-1.357,7.233,February
1880,2,14,45,-1.353,7.237,February
1880,2,15,46,-1.32,7.27,February
1880,2,16,47,-1.285,7.305,February
1880,2,17,48,-1.314,7.276,February
1880,2,18,49,-1.479,7.111,February
1880,2,19,50,-1.416,7.1739999999999995,February
1880,2,20,51,-1.17,7.42,February
1880,2,21,52,-0.866,7.724,February
1880,2,22,53,-0.765,7.825,February
1880,2,23,54,-0.884,7.7059999999999995,February
1880,2,24,55,-1.055,7.535,February
1880,2,25,56,-0.899,7.691,February
1880,2,26,57,-1.046,7.544,February
1880,2,27,58,-1.269,7.321,February
1880,2,28,59,-1.319,7.271,February
1880,2,29,60,-1.281,7.309,February
1880,3,1,61,-1.151,7.439,March
1880,3,2,62,-1.091,7.499,March
1880,3,3,63,-0.831,7.759,March
1880,3,4,64,-0.778,7.811999999999999,March
1880,3,5,65,-0.852,7.7379999999999995,March
1880,3,6,66,-0.903,7.686999999999999,March
1880,3,7,67,-1.078,7.512,March
1880,3,8,68,-1.209,7.381,March
1880,3,9,69,-1.311,7.279,March
1880,3,10,70,-1.096,7.494,March
1880,3,11,71,-1.191,7.399,March
1880,3,12,72,-1.414,7.176,March
1880,3,13,73,-1.622,6.968,March
1880,3,14,74,-1.645,6.945,March
1880,3,15,75,-1.483,7.106999999999999,March
1880,3,16,76,-1.287,7.303,March
1880,3,17,77,-0.987,7.603,March
1880,3,18,78,-0.707,7.883,March
1880,3,19,79,-0.768,7.822,March
1880,3,20,80,-0.883,7.707,March
1880,3,21,81,-0.83,7.76,March
1880,3,22,82,-0.779,7.811,March
1880,3,23,83,-0.878,7.712,March
1880,3,24,84,-0.873,7.717,March
1880,3,25,85,-0.826,7.764,March
1880,3,26,86,-0.804,7.786,March
1880,3,27,87,-0.844,7.7459999999999996,March
1880,3,28,88,-0.872,7.718,March
1880,3,29,89,-0.947,7.643,March
1880,3,30,90,-0.952,7.638,March
1880,3,31,91,-0.896,7.694,March
1880,4,1,92,-0.741,7.849,April
1880,4,2,93,-0.829,7.761,April
1880,4,3,94,-0.746,7.843999999999999,April
1880,4,4,95,-0.706,7.884,April
1880,4,5,96,-0.656,7.934,April
1880,4,6,97,-0.861,7.729,April
1880,4,7,98,-0.977,7.6129999999999995,April
1880,4,8,99,-1.033,7.557,April
1880,4,9,100,-0.819,7.771,April
1880,4,10,101,-0.916,7.6739999999999995,April
1880,4,11,102,-1.112,7.478,April
1880,4,12,103,-1.111,7.479,April
1880,4,13,104,-1.035,7.555,April
1880,4,14,105,-0.923,7.667,April
1880,4,15,106,-0.834,7.756,April
1880,4,16,107,-0.783,7.8069999999999995,April
1880,4,17,108,-0.771,7.819,April
1880,4,18,109,-0.817,7.773,April
1880,4,19,110,-0.876,7.7139999999999995,April
1880,4,20,111,-0.686,7.904,April
1880,4,21,112,-0.503,8.087,April
1880,4,22,113,-0.54,8.05,April
1880,4,23,114,-0.651,7.939,April
1880,4,24,115,-0.768,7.822,April
1880,4,25,116,-0.771,7.819,April
1880,4,26,117,-0.854,7.736,April
1880,4,27,118,-0.817,7.773,April
1880,4,28,119,-0.835,7.755,April
1880,4,29,120,-0.763,7.827,April
1880,4,30,121,-0.771,7.819,April
1880,5,1,122,-0.68,7.91,May
1880,5,2,123,-0.51,8.08,May
1880,5,3,124,-0.434,8.156,May
1880,5,4,125,-0.432,8.158,May
1880,5,5,126,-0.348,8.241999999999999,May
1880,5,6,127,-0.477,8.113,May
1880,5,7,128,-0.592,7.998,May
1880,5,8,129,-0.455,8.135,May
1880,5,9,130,-0.482,8.108,May
1880,5,10,131,-0.468,8.122,May
1880,5,11,132,-0.43,8.16,May
1880,5,12,133,-0.439,8.151,May
1880,5,13,134,-0.439,8.151,May
1880,5,14,135,-0.375,8.215,May
1880,5,15,136,-0.302,8.288,May
1880,5,16,137,-0.255,8.334999999999999,May
1880,5,17,138,-0.251,8.339,May
1880,5,18,139,-0.311,8.279,May
1880,5,19,140,-0.302,8.288,May
1880,5,20,141,-0.381,8.209,May
1880,5,21,142,-0.358,8.232,May
1880,5,22,143,-0.357,8.233,May
1880,5,23,144,-0.233,8.357,May
1880,5,24,145,-0.168,8.422,May
1880,5,25,146,-0.154,8.436,May
1880,5,26,147,-0.223,8.366999999999999,May
1880,5,27,148,-0.206,8.384,May
1880,5,28,149,-0.297,8.293,May
1880,5,29,150,-0.432,8.158,May
1880,5,30,151,-0.506,8.084,May
1880,5,31,152,-0.537,8.052999999999999,May
1880,6,1,153,-0.559,8.031,June
1880,6,2,154,-0.483,8.107,June
1880,6,3,155,-0.379,8.211,June
1880,6,4,156,-0.423,8.167,June
1880,6,5,157,-0.481,8.109,June
1880,6,6,158,-0.543,8.047,June
1880,6,7,159,-0.505,8.084999999999999,June
1880,6,8,160,-0.404,8.186,June
1880,6,9,161,-0.389,8.201,June
1880,6,10,162,-0.337,8.253,June
1880,6,11,163,-0.33,8.26,June
1880,6,12,164,-0.355,8.235,June
1880,6,13,165,-0.303,8.286999999999999,June
1880,6,14,166,-0.243,8.347,June
1880,6,15,167,-0.264,8.326,June
1880,6,16,168,-0.358,8.232,June
1880,6,17,169,-0.267,8.323,June
1880,6,18,170,-0.162,8.427999999999999,June
1880,6,19,171,-0.152,8.438,June
1880,6,20,172,-0.317,8.273,June
1880,6,21,173,-0.334,8.256,June
1880,6,22,174,-0.232,8.358,June
1880,6,23,175,-0.088,8.502,June
1880,6,24,176,-0.118,8.472,June
1880,6,25,177,-0.275,8.315,June
1880,6,26,178,-0.268,8.322,June
1880,6,27,179,-0.253,8.337,June
1880,6,28,180,-0.236,8.354,June
1880,6,29,181,-0.264,8.326,June
1880,6,30,182,-0.202,8.388,June
1880,7,1,183,-0.264,8.326,July
1880,7,2,183,-0.318,8.272,July
1880,7,3,184,-0.295,8.295,July
1880,7,4,185,-0.242,8.347999999999999,July
1880,7,5,186,-0.232,8.358,July
1880,7,6,187,-0.136,8.454,July
1880,7,7,188,-0.226,8.363999999999999,July
1880,7,8,189,-0.149,8.441,July
1880,7,9,190,-0.194,8.395999999999999,July
1880,7,10,191,-0.273,8.317,July
1880,7,11,192,-0.289,8.301,July
1880,7,12,193,-0.274,8.315999999999999,July
1880,7,13,194,-0.209,8.381,July
1880,7,14,195,-0.178,8.411999999999999,July
1880,7,15,196,-0.167,8.423,July
1880,7,16,197,-0.102,8.488,July
1880,7,17,198,-0.132,8.458,July
1880,7,18,199,-0.106,8.484,July
1880,7,19,200,-0.165,8.425,July
1880,7,20,201,-0.257,8.333,July
1880,7,21,202,-0.194,8.395999999999999,July
1880,7,22,203,-0.186,8.404,July
1880,7,23,204,-0.152,8.438,July
1880,7,24,205,-0.234,8.356,July
1880,7,25,206,-0.168,8.422,July
1880,7,26,207,-0.209,8.381,July
1880,7,27,208,-0.242,8.347999999999999,July
1880,7,28,209,-0.294,8.296,July
1880,7,29,210,-0.329,8.261,July
1880,7,30,211,-0.186,8.404,July
1880,7,31,212,-0.056,8.534,July
1880,8,1,213,-0.117,8.472999999999999,August
1880,8,2,214,-0.29,8.3,August
1880,8,3,215,-0.414,8.176,August
1880,8,4,216,-0.48,8.11,August
1880,8,5,217,-0.403,8.187,August
1880,8,6,218,-0.442,8.148,August
1880,8,7,219,-0.29,8.3,August
1880,8,8,220,-0.261,8.329,August
1880,8,9,221,-0.357,8.233,August
1880,8,10,222,-0.349,8.241,August
1880,8,11,223,-0.353,8.237,August
1880,8,12,224,-0.319,8.270999999999999,August
1880,8,13,225,-0.241,8.349,August
1880,8,14,226,-0.266,8.324,August
1880,8,15,227,-0.293,8.297,August
1880,8,16,228,-0.189,8.401,August
1880,8,17,229,-0.07,8.52,August
1880,8,18,230,-0.071,8.519,August
1880,8,19,231,-0.062,8.528,August
1880,8,20,232,-0.066,8.524,August
1880,8,21,233,-0.063,8.527,August
1880,8,22,234,-0.16,8.43,August
1880,8,23,235,-0.211,8.379,August
1880,8,24,236,-0.312,8.278,August
1880,8,25,237,-0.283,8.307,August
1880,8,26,238,-0.321,8.269,August
1880,8,27,239,-0.435,8.155,August
1880,8,28,240,-0.351,8.239,August
1880,8,29,241,-0.34,8.25,August
1880,8,30,242,-0.31,8.28,August
1880,8,31,243,-0.424,8.166,August
1880,9,1,244,-0.243,8.347,September
1880,9,2,245,-0.134,8.456,September
1880,9,3,246,-0.166,8.424,September
1880,9,4,247,-0.136,8.454,September
1880,9,5,248,-0.193,8.397,September
1880,9,6,249,-0.233,8.357,September
1880,9,7,250,-0.525,8.065,September
1880,9,8,251,-0.598,7.992,September
1880,9,9,252,-0.601,7.989,September
1880,9,10,253,-0.662,7.928,September
1880,9,11,254,-0.744,7.846,September
1880,9,12,255,-0.806,7.784,September
1880,9,13,256,-0.833,7.757,September
1880,9,14,257,-0.777,7.813,September
1880,9,15,258,-0.67,7.92,September
1880,9,16,259,-0.572,8.018,September
1880,9,17,260,-0.64,7.95,September
1880,9,18,261,-0.72,7.87,September
1880,9,19,262,-0.728,7.862,September
1880,9,20,263,-0.809,7.781,September
1880,9,21,264,-0.762,7.827999999999999,September
1880,9,22,265,-0.726,7.864,September
1880,9,23,266,-0.637,7.952999999999999,September
1880,9,24,267,-0.511,8.079,September
1880,9,25,268,-0.578,8.012,September
1880,9,26,269,-0.733,7.857,September
1880,9,27,270,-0.842,7.748,September
1880,9,28,271,-0.878,7.712,September
1880,9,29,272,-0.819,7.771,September
1880,9,30,273,-0.77,7.82,September
1880,10,1,274,-0.654,7.936,October
1880,10,2,275,-0.514,8.076,October
1880,10,3,276,-0.673,7.917,October
1880,10,4,277,-0.687,7.903,October
1880,10,5,278,-0.611,7.979,October
1880,10,6,279,-0.546,8.044,October
1880,10,7,280,-0.499,8.091,October
1880,10,8,281,-0.5,8.09,October
1880,10,9,282,-0.496,8.094,October
1880,10,10,283,-0.596,7.994,October
1880,10,11,284,-0.5,8.09,October
1880,10,12,285,-0.534,8.056,October
1880,10,13,286,-0.534,8.056,October
1880,10,14,287,-0.592,7.998,October
1880,10,15,288,-0.642,7.9479999999999995,October
1880,10,16,289,-0.832,7.758,October
1880,10,17,290,-0.881,7.709,October
1880,10,18,291,-0.773,7.817,October
1880,10,19,292,-0.593,7.997,October
1880,10,20,293,-0.506,8.084,October
1880,10,21,294,-0.529,8.061,October
1880,10,22,295,-0.683,7.907,October
1880,10,23,296,-0.692,7.898,October
1880,10,24,297,-0.601,7.989,October
1880,10,25,298,-0.477,8.113,October
1880,10,26,299,-0.413,8.177,October
1880,10,27,300,-0.352,8.238,October
1880,10,28,301,-0.252,8.338,October
1880,10,29,302,-0.118,8.472,October
1880,10,30,303,-0.168,8.422,October
1880,10,31,304,-0.292,8.298,October
1880,11,1,305,-0.388,8.202,November
1880,11,2,306,-0.354,8.236,November
1880,11,3,307,-0.295,8.295,November
1880,11,4,308,-0.251,8.339,November
1880,11,5,309,-0.294,8.296,November
1880,11,6,310,-0.158,8.432,November
1880,11,7,311,0.043,8.633,November
1880,11,8,312,0.076,8.666,November
1880,11,9,313,-0.058,8.532,November
1880,11,10,314,-0.105,8.485,November
1880,11,11,315,-0.104,8.486,November
1880,11,12,316,-0.231,8.359,November
1880,11,13,317,-0.185,8.405,November
1880,11,14,318,-0.119,8.471,November
1880,11,15,319,-0.251,8.339,November
1880,11,16,320,-0.571,8.019,November
1880,11,17,321,-0.664,7.926,November
1880,11,18,322,-0.674,7.9159999999999995,November
1880,11,19,323,-0.812,7.778,November
1880,11,20,324,-0.984,7.606,November
1880,11,21,325,-1.105,7.484999999999999,November
1880,11,22,326,-0.881,7.709,November
1880,11,23,327,-0.792,7.798,November
1880,11,24,328,-0.706,7.884,November
1880,11,25,329,-0.558,8.032,November
1880,11,26,330,-0.399,8.190999999999999,November
1880,11,27,331,-0.299,8.291,November
1880,11,28,332,-0.402,8.188,November
1880,11,29,333,-0.489,8.100999999999999,November
1880,11,30,334,-0.341,8.249,November
1880,12,1,335,-0.516,8.074,December
1880,12,2,336,-0.522,8.068,December
1880,12,3,337,-0.468,8.122,December
1880,12,4,338,-0.525,8.065,December
1880,12,5,339,-0.708,7.882,December
1880,12,6,340,-0.873,7.717,December
1880,12,7,341,-0.668,7.922,December
1880,12,8,342,-0.631,7.959,December
1880,12,9,343,-0.587,8.003,December
1880,12,10,344,-0.473,8.116999999999999,December
1880,12,11,345,-0.203,8.387,December
1880,12,12,346,0.076,8.666,December
1880,12,13,347,0.042,8.632,December
1880,12,14,348,0.04,8.629999999999999,December
1880,12,15,349,-0.037,8.552999999999999,December
1880,12,16,350,-0.051,8.539,December
1880,12,17,351,-0.383,8.207,December
1880,12,18,352,-0.42,8.17,December
1880,12,19,353,-0.451,8.139,December
1880,12,20,354,-0.365,8.225,December
1880,12,21,355,-0.427,8.163,December
1880,12,22,356,-0.538,8.052,December
1880,12,23,357,-0.478,8.112,December
1880,12,24,358,-0.331,8.259,December
1880,12,25,359,-0.299,8.291,December
1880,12,26,360,-0.276,8.314,December
1880,12,27,361,-0.509,8.081,December
1880,12,28,362,-0.773,7.817,December
1880,12,29,363,-0.944,7.646,December
1880,12,30,364,-0.763,7.827,December
1880,12,31,365,-0.516,8.074,December
1881,1,1,1,-0.147,8.443,January
1881,1,2,2,-0.106,8.484,January
1881,1,3,3,-0.156,8.434,January
1881,1,4,4,-0.017,8.573,January
1881,1,5,5,-0.064,8.526,January
1881,1,6,6,-0.276,8.314,January
1881,1,7,7,-0.586,8.004,January
1881,1,8,8,-0.833,7.757,January
1881,1,9,9,-0.849,7.741,January
1881,1,10,10,-0.806,7.784,January
