,Year,Month,Day,Day of Year,Anomaly,Temperature,Month_Name
0,1880,1,1,1,-0.692,7.898,January
1,1880,1,2,2,-0.592,7.998,January
2,1880,1,3,3,-0.673,7.917,January
3,1880,1,4,4,-0.615,7.975,January
4,1880,1,5,5,-0.681,7.909,January
5,1880,1,6,6,-0.743,7.8469999999999995,January
6,1880,1,7,7,-0.646,7.944,January
7,1880,1,8,8,-0.716,7.874,January
8,1880,1,9,9,-0.984,7.606,January
9,1880,1,10,10,-0.937,7.653,January
10,1880,1,11,11,-1.125,7.465,January
11,1880,1,12,12,-1.283,7.307,January
12,1880,1,13,13,-1.108,7.481999999999999,January
13,1880,1,14,14,-0.96,7.63,January
14,1880,1,15,15,-0.865,7.725,January
15,1880,1,16,16,-0.753,7.837,January
16,1880,1,17,17,-0.511,8.079,January
17,1880,1,18,18,-0.678,7.912,January
18,1880,1,19,19,-0.766,7.824,January
19,1880,1,20,20,-0.875,7.715,January
20,1880,1,21,21,-0.913,7.677,January
21,1880,1,22,22,-0.812,7.778,January
22,1880,1,23,23,-0.744,7.846,January
23,1880,1,24,24,-0.762,7.827999999999999,January
24,1880,1,25,25,-0.9,7.6899999999999995,January
25,1880,1,26,26,-1.07,7.52,January
26,1880,1,27,27,-1.26,7.33,January
27,1880,1,28,28,-1.385,7.205,January
28,1880,1,29,29,-1.339,7.2509999999999994,January
29,1880,1,30,30,-1.288,7.302,January
30,1880,1,31,31,-1.196,7.394,January
31,1880,2,1,32,-1.254,7.336,February
32,1880,2,2,33,-1.327,7.263,February
33,1880,2,3,34,-1.463,7.127,February
34,1880,2,4,35,-1.471,7.119,February
35,1880,2,5,36,-1.361,7.229,February
36,1880,2,6,37,-1.439,7.151,February
37,1880,2,7,38,-1.481,7.109,February
38,1880,2,8,39,-1.445,7.145,February
39,1880,2,9,40,-1.348,7.242,February
40,1880,2,10,41,-1.245,7.345,February
41,1880,2,11,42,-1.184,7.406,February
42,1880,2,12,43,-1.232,7.358,February
43,1880,2,13,44,-1.357,7.233,February
44,1880,2,14,45,-1.353,7.237,February
45,1880,2,15,46,-1.32,7.27,February
46,1880,2,16,47,-1.285,7.305,February
47,1880,2,17,48,-1.314,7.276,February
48,1880,2,18,49,-1.479,7.111,February
49,1880,2,19,50,-1.416,7.1739999999999995,February
50,1880,2,20,51,-1.17,7.42,February
51,1880,2,21,52,-0.866,7.724,February
52,1880,2,22,53,-0.765,7.825,February
53,1880,2,23,54,-0.884,7.7059999999999995,February
54,1880,2,24,55,-1.055,7.535,February
55,1880,2,25,56,-0.899,7.691,February
56,1880,2,26,57,-1.046,7.544,February
57,1880,2,27,58,-1.269,7.321,February
58,1880,2,28,59,-1.319,7.271,February
59,1880,2,29,60,-1.281,7.309,February
60,1880,3,1,61,-1.151,7.439,March
61,1880,3,2,62,-1.091,7.499,March
62,1880,3,3,63,-0.831,7.759,March
63,1880,3,4,64,-0.778,7.811999999999999,March
64,1880,3,5,65,-0.852,7.7379999999999995,March
65,1880,3,6,66,-0.903,7.686999999999999,March
66,1880,3,7,67,-1.078,7.512,March
67,1880,3,8,68,-1.209,7.381,March
68,1880,3,9,69,-1.311,7.279,March
69,1880,3,10,70,-1.096,7.494,March
70,1880,3,11,71,-1.191,7.399,March
71,1880,3,12,72,-1.414,7.176,March
72,1880,3,13,73,-1.622,6.968,March
73,1880,3,14,74,-1.645,6.945,March
74,1880,3,15,75,-1.483,7.106999999999999,March
75,1880,3,16,76,-1.287,7.303,March
76,1880,3,17,77,-0.987,7.603,March
77,1880,3,18,78,-0.707,7.883,March
78,1880,3,19,79,-0.768,7.822,March
79,1880,3,20,80,-0.883,7.707,March
80,1880,3,21,81,-0.83,7.76,March
81,1880,3,22,82,-0.779,7.811,March
82,1880,3,23,83,-0.878,7.712,March
83,1880,3,24,84,-0.873,7.717,March
84,1880,3,25,85,-0.826,7.764,March
85,1880,3,26,86,-0.804,7.786,March
86,1880,3,27,87,-0.844,7.7459999999999996,March
87,1880,3,28,88,-0.872,7.718,March
88,1880,3,29,89,-0.947,7.643,March
89,1880,3,30,90,-0.952,7.638,March
90,1880,3,31,91,-0.896,7.694,March
91,1880,4,1,92,-0.741,7.849,April
92,1880,4,2,93,-0.829,7.761,April
93,1880,4,3,94,-0.746,7.843999999999999,April
94,1880,4,4,95,-0.706,7.884,April
95,1880,4,5,96,-0.656,7.934,April
96,1880,4,6,97,-0.861,7.729,April
97,1880,4,7,98,-0.977,7.6129999999999995,April
98,1880,4,8,99,-1.033,7.557,April
99,1880,4,9,100,-0.819,7.771,April
100,1880,4,10,101,-0.916,7.6739999999999995,April
101,1880,4,11,102,-1.112,7.478,April
102,1880,4,12,103,-1.111,7.479,April
103,1880,4,13,104,-1.035,7.555,April
104,1880,4,14,105,-0.923,7.667,April
105,1880,4,15,106,-0.834,7.756,April
106,1880,4,16,107,-0.783,7.8069999999999995,April
107,1880,4,17,108,-0.771,7.819,April
108,1880,4,18,109,-0.817,7.773,April
109,1880,4,19,110,-0.876,7.7139999999999995,April
110,1880,4,20,111,-0.686,7.904,April
111,1880,4,21,112,-0.503,8.087,April
112,1880,4,22,113,-0.54,8.05,April
113,1880,4,23,114,-0.651,7.939,April
114,1880,4,24,115,-0.768,7.822,April
115,1880,4,25,116,-0.771,7.819,April
116,1880,4,26,117,-0.854,7.736,April
117,1880,4,27,118,-0.817,7.773,April
118,1880,4,28,119,-0.835,7.755,April
119,1880,4,29,120,-0.763,7.827,April
120,1880,4,30,121,-0.771,7.819,April
121,1880,5,1,122,-0.68,7.91,May
122,1880,5,2,123,-0.51,8.08,May
123,1880,5,3,124,-0.434,8.156,May
124,1880,5,4,125,-0.432,8.158,May
125,1880,5,5,126,-0.348,8.241999999999999,May
126,1880,5,6,127,-0.477,8.113,May
127,1880,5,7,128,-0.592,7.998,May
128,1880,5,8,129,-0.455,8.135,May
129,1880,5,9,130,-0.482,8.108,May
130,1880,5,10,131,-0.468,8.122,May
131,1880,5,11,132,-0.43,8.16,May
132,1880,5,12,133,-0.439,8.151,May
133,1880,5,13,134,-0.439,8.151,May
134,1880,5,14,135,-0.375,8.215,May
135,1880,5,15,136,-0.302,8.288,May
136,1880,5,16,137,-0.255,8.334999999999999,May
137,1880,5,17,138,-0.251,8.339,May
138,1880,5,18,139,-0.311,8.279,May
139,1880,5,19,140,-0.302,8.288,May
140,1880,5,20,141,-0.381,8.209,May
141,1880,5,21,142,-0.358,8.232,May
142,1880,5,22,143,-0.357,8.233,May
143,1880,5,23,144,-0.233,8.357,May
144,1880,5,24,145,-0.168,8.422,May
145,1880,5,25,146,-0.154,8.436,May
146,1880,5,26,147,-0.223,8.366999999999999,May
147,1880,5,27,148,-0.206,8.384,May
148,1880,5,28,149,-0.297,8.293,May
149,1880,5,29,150,-0.432,8.158,May
150,1880,5,30,151,-0.506,8.084,May
151,1880,5,31,152,-0.537,8.052999999999999,May
152,1880,6,1,153,-0.559,8.031,June
153,1880,6,2,154,-0.483,8.107,June
154,1880,6,3,155,-0.379,8.211,June
155,1880,6,4,156,-0.423,8.167,June
156,1880,6,5,157,-0.481,8.109,June
157,1880,6,6,158,-0.543,8.047,June
158,1880,6,7,159,-0.505,8.084999999999999,June
159,1880,6,8,160,-0.404,8.186,June
160,1880,6,9,161,-0.389,8.201,June
161,1880,6,10,162,-0.337,8.253,June
162,1880,6,11,163,-0.33,8.26,June
163,1880,6,12,164,-0.355,8.235,June
164,1880,6,13,165,-0.303,8.286999999999999,June
165,1880,6,14,166,-0.243,8.347,June
166,1880,6,15,167,-0.264,8.326,June
167,1880,6,16,168,-0.358,8.232,June
168,1880,6,17,169,-0.267,8.323,June
169,1880,6,18,170,-0.162,8.427999999999999,June
170,1880,6,19,171,-0.152,8.438,June
171,1880,6,20,172,-0.317,8.273,June
172,1880,6,21,173,-0.334,8.256,June
173,1880,6,22,174,-0.232,8.358,June
174,1880,6,23,175,-0.088,8.502,June
175,1880,6,24,176,-0.118,8.472,June
176,1880,6,25,177,-0.275,8.315,June
177,1880,6,26,178,-0.268,8.322,June
178,1880,6,27,179,-0.253,8.337,June
179,1880,6,28,180,-0.236,8.354,June
180,1880,6,29,181,-0.264,8.326,June
181,1880,6,30,182,-0.202,8.388,June
182,1880,7,1,183,-0.264,8.326,July
183,1880,7,2,183,-0.318,8.272,July
184,1880,7,3,184,-0.295,8.295,July
185,1880,7,4,185,-0.242,8.347999999999999,July
186,1880,7,5,186,-0.232,8.358,July
187,1880,7,6,187,-0.136,8.454,July
188,1880,7,7,188,-0.226,8.363999999999999,July
189,1880,7,8,189,-0.149,8.441,July
190,1880,7,9,190,-0.194,8.395999999999999,July
191,1880,7,10,191,-0.273,8.317,July
192,1880,7,11,192,-0.289,8.301,July
193,1880,7,12,193,-0.274,8.315999999999999,July
194,1880,7,13,194,-0.209,8.381,July
195,1880,7,14,195,-0.178,8.411999999999999,July
196,1880,7,15,196,-0.167,8.423,July
197,1880,7,16,197,-0.102,8.488,July
198,1880,7,17,198,-0.132,8.458,July
199,1880,7,18,199,-0.106,8.484,July
200,1880,7,19,200,-0.165,8.425,July
201,1880,7,20,201,-0.257,8.333,July
202,1880,7,21,202,-0.194,8.395999999999999,July
203,1880,7,22,203,-0.186,8.404,July
204,1880,7,23,204,-0.152,8.438,July
205,1880,7,24,205,-0.234,8.356,July
206,1880,7,25,206,-0.168,8.422,July
207,1880,7,26,207,-0.209,8.381,July
208,1880,7,27,208,-0.242,8.347999999999999,July
209,1880,7,28,209,-0.294,8.296,July
210,1880,7,29,210,-0.329,8.261,July
211,1880,7,30,211,-0.186,8.404,July
212,1880,7,31,212,-0.056,8.534,July
213,1880,8,1,213,-0.117,8.472999999999999,August
214,1880,8,2,214,-0.29,8.3,August
215,1880,8,3,215,-0.414,8.176,August
216,1880,8,4,216,-0.48,8.11,August
217,1880,8,5,217,-0.403,8.187,August
218,1880,8,6,218,-0.442,8.148,August
219,1880,8,7,219,-0.29,8.3,August
220,1880,8,8,220,-0.261,8.329,August
221,1880,8,9,221,-0.357,8.233,August
222,1880,8,10,222,-0.349,8.241,August
223,1880,8,11,223,-0.353,8.237,August
224,1880,8,12,224,-0.319,8.270999999999999,August
225,1880,8,13,225,-0.241,8.349,August
226,1880,8,14,226,-0.266,8.324,August
227,1880,8,15,227,-0.293,8.297,August
228,1880,8,16,228,-0.189,8.401,August
229,1880,8,17,229,-0.07,8.52,August
230,1880,8,18,230,-0.071,8.519,August
231,1880,8,19,231,-0.062,8.528,August
232,1880,8,20,232,-0.066,8.524,August
233,1880,8,21,233,-0.063,8.527,August
234,1880,8,22,234,-0.16,8.43,August
235,1880,8,23,235,-0.211,8.379,August
236,1880,8,24,236,-0.312,8.278,August
237,1880,8,25,237,-0.283,8.307,August
238,1880,8,26,238,-0.321,8.269,August
239,1880,8,27,239,-0.435,8.155,August
240,1880,8,28,240,-0.351,8.239,August
241,1880,8,29,241,-0.34,8.25,August
242,1880,8,30,242,-0.31,8.28,August
243,1880,8,31,243,-0.424,8.166,August
244,1880,9,1,244,-0.243,8.347,September
245,1880,9,2,245,-0.134,8.456,September
246,1880,9,3,246,-0.166,8.424,September
247,1880,9,4,247,-0.136,8.454,September
248,1880,9,5,248,-0.193,8.397,September
249,1880,9,6,249,-0.233,8.357,September
250,1880,9,7,250,-0.525,8.065,September
251,1880,9,8,251,-0.598,7.992,September
252,1880,9,9,252,-0.601,7.989,September
253,1880,9,10,253,-0.662,7.928,September
254,1880,9,11,254,-0.744,7.846,September
255,1880,9,12,255,-0.806,7.784,September
256,1880,9,13,256,-0.833,7.757,September
257,1880,9,14,257,-0.777,7.813,September
258,1880,9,15,258,-0.67,7.92,September
259,1880,9,16,259,-0.572,8.018,September
260,1880,9,17,260,-0.64,7.95,September
261,1880,9,18,261,-0.72,7.87,September
262,1880,9,19,262,-0.728,7.862,September
263,1880,9,20,263,-0.809,7.781,September
264,1880,9,21,264,-0.762,7.827999999999999,September
265,1880,9,22,265,-0.726,7.864,September
266,1880,9,23,266,-0.637,7.952999999999999,September
267,1880,9,24,267,-0.511,8.079,September
268,1880,9,25,268,-0.578,8.012,September
269,1880,9,26,269,-0.733,7.857,September
270,1880,9,27,270,-0.842,7.748,September
271,1880,9,28,271,-0.878,7.712,September
272,1880,9,29,272,-0.819,7.771,September
273,1880,9,30,273,-0.77,7.82,September
274,1880,10,1,274,-0.654,7.936,October
275,1880,10,2,275,-0.514,8.076,October
276,1880,10,3,276,-0.673,7.917,October
277,1880,10,4,277,-0.687,7.903,October
278,1880,10,5,278,-0.611,7.979,October
279,1880,10,6,279,-0.546,8.044,October
280,1880,10,7,280,-0.499,8.091,October
281,1880,10,8,281,-0.5,8.09,October
282,1880,10,9,282,-0.496,8.094,October
283,1880,10,10,283,-0.596,7.994,October
284,1880,10,11,284,-0.5,8.09,October
285,1880,10,12,285,-0.534,8.056,October
286,1880,10,13,286,-0.534,8.056,October
287,1880,10,14,287,-0.592,7.998,October
288,1880,10,15,288,-0.642,7.9479999999999995,October
289,1880,10,16,289,-0.832,7.758,October
290,1880,10,17,290,-0.881,7.709,October
291,1880,10,18,291,-0.773,7.817,October
292,1880,10,19,292,-0.593,7.997,October
293,1880,10,20,293,-0.506,8.084,October
294,1880,10,21,294,-0.529,8.061,October
295,1880,10,22,295,-0.683,7.907,October
296,1880,10,23,296,-0.692,7.898,October
297,1880,10,24,297,-0.601,7.989,October
298,1880,10,25,298,-0.477,8.113,October
299,1880,10,26,299,-0.413,8.177,October
300,1880,10,27,300,-0.352,8.238,October
301,1880,10,28,301,-0.252,8.338,October
302,1880,10,29,302,-0.118,8.472,October
303,1880,10,30,303,-0.168,8.422,October
304,1880,10,31,304,-0.292,8.298,October
305,1880,11,1,305,-0.388,8.202,November
306,1880,11,2,306,-0.354,8.236,November
307,1880,11,3,307,-0.295,8.295,November
308,1880,11,4,308,-0.251,8.339,November
309,1880,11,5,309,-0.294,8.296,November
310,1880,11,6,310,-0.158,8.432,November
311,1880,11,7,311,0.043,8.633,November
312,1880,11,8,312,0.076,8.666,November
313,1880,11,9,313,-0.058,8.532,November
314,1880,11,10,314,-0.105,8.485,November
315,1880,11,11,315,-0.104,8.486,November
316,1880,11,12,316,-0.231,8.359,November
317,1880,11,13,317,-0.185,8.405,November
318,1880,11,14,318,-0.119,8.471,November
319,1880,11,15,319,-0.251,8.339,November
320,1880,11,16,320,-0.571,8.019,November
321,1880,11,17,321,-0.664,7.926,November
322,1880,11,18,322,-0.674,7.9159999999999995,November
323,1880,11,19,323,-0.812,7.778,November
324,1880,11,20,324,-0.984,7.606,November
325,1880,11,21,325,-1.105,7.484999999999999,November
326,1880,11,22,326,-0.881,7.709,November
327,1880,11,23,327,-0.792,7.798,November
328,1880,11,24,328,-0.706,7.884,November
329,1880,11,25,329,-0.558,8.032,November
330,1880,11,26,330,-0.399,8.190999999999999,November
331,1880,11,27,331,-0.299,8.291,November
332,1880,11,28,332,-0.402,8.188,November
333,1880,11,29,333,-0.489,8.100999999999999,November
334,1880,11,30,334,-0.341,8.249,November
335,1880,12,1,335,-0.516,8.074,December
336,1880,12,2,336,-0.522,8.068,December
337,1880,12,3,337,-0.468,8.122,December
338,1880,12,4,338,-0.525,8.065,December
339,1880,12,5,339,-0.708,7.882,December
340,1880,12,6,340,-0.873,7.717,December
341,1880,12,7,341,-0.668,7.922,December
342,1880,12,8,342,-0.631,7.959,December
343,1880,12,9,343,-0.587,8.003,December
344,1880,12,10,344,-0.473,8.116999999999999,December
345,1880,12,11,345,-0.203,8.387,December
346,1880,12,12,346,0.076,8.666,December
347,1880,12,13,347,0.042,8.632,December
348,1880,12,14,348,0.04,8.629999999999999,December
349,1880,12,15,349,-0.037,8.552999999999999,December
350,1880,12,16,350,-0.051,8.539,December
351,1880,12,17,351,-0.383,8.207,December
352,1880,12,18,352,-0.42,8.17,December
353,1880,12,19,353,-0.451,8.139,December
354,1880,12,20,354,-0.365,8.225,December
355,1880,12,21,355,-0.427,8.163,December
356,1880,12,22,356,-0.538,8.052,December
357,1880,12,23,357,-0.478,8.112,December
358,1880,12,24,358,-0.331,8.259,December
359,1880,12,25,359,-0.299,8.291,December
360,1880,12,26,360,-0.276,8.314,December
361,1880,12,27,361,-0.509,8.081,December
362,1880,12,28,362,-0.773,7.817,December
363,1880,12,29,363,-0.944,7.646,December
364,1880,12,30,364,-0.763,7.827,December
365,1880,12,31,365,-0.516,8.074,December
366,1881,1,1,1,-0.147,8.443,January
367,1881,1,2,2,-0.106,8.484,January
368,1881,1,3,3,-0.156,8.434,January
369,1881,1,4,4,-0.017,8.573,January
370,1881,1,5,5,-0.064,8.526,January
371,1881,1,6,6,-0.276,8.314,January
372,1881,1,7,7,-0.586,8.004,January
373,1881,1,8,8,-0.833,7.757,January
374,1881,1,9,9,-0.849,7.741,January
375,1881,1,10,10,-0.806,7.784,January
376,1881,1,11,11,-0.702,7.888,January
377,1881,1,12,12,-0.525,8.065,January
378,1881,1,13,13,-0.415,8.175,January
379,1881,1,14,14,-0.533,8.057,January
380,1881,1,15,15,-0.287,8.302999999999999,January
381,1881,1,16,16,-0.071,8.519,January
382,1881,1,17,17,-0.208,8.382,January
383,1881,1,18,18,-0.177,8.413,January
384,1881,1,19,19,0.138,8.728,January
385,1881,1,20,20,0.184,8.774,January
386,1881,1,21,21,-0.177,8.413,January
387,1881,1,22,22,-0.353,8.237,January
388,1881,1,23,23,-0.534,8.056,January
389,1881,1,24,24,-0.654,7.936,January
390,1881,1,25,25,-0.694,7.896,January
391,1881,1,26,26,-0.763,7.827,January
392,1881,1,27,27,-0.687,7.903,January
393,1881,1,28,28,-0.642,7.9479999999999995,January
394,1881,1,29,29,-0.387,8.203,January
395,1881,1,30,30,-0.275,8.315,January
396,1881,1,31,31,-0.183,8.407,January
397,1881,2,1,32,-0.224,8.366,February
398,1881,2,2,33,0.006,8.596,February
399,1881,2,3,34,0.06,8.65,February
400,1881,2,4,35,-0.189,8.401,February
401,1881,2,5,36,-0.255,8.334999999999999,February
402,1881,2,6,37,-0.35,8.24,February
403,1881,2,7,38,-0.178,8.411999999999999,February
404,1881,2,8,39,-0.148,8.442,February
405,1881,2,9,40,0.013,8.603,February
406,1881,2,10,41,-0.124,8.466,February
407,1881,2,11,42,-0.336,8.254,February
408,1881,2,12,43,-0.578,8.012,February
409,1881,2,13,44,-0.875,7.715,February
410,1881,2,14,45,-1.177,7.413,February
411,1881,2,15,46,-1.128,7.462,February
412,1881,2,16,47,-0.93,7.66,February
413,1881,2,17,48,-0.797,7.793,February
414,1881,2,18,49,-0.687,7.903,February
415,1881,2,19,50,-0.672,7.918,February
416,1881,2,20,51,-0.719,7.8709999999999996,February
417,1881,2,21,52,-0.682,7.9079999999999995,February
418,1881,2,22,53,-0.604,7.986,February
419,1881,2,23,54,-0.661,7.929,February
420,1881,2,24,55,-0.66,7.93,February
421,1881,2,25,56,-0.6,7.99,February
422,1881,2,26,57,-0.76,7.83,February
423,1881,2,27,58,-0.649,7.941,February
424,1881,2,28,59,-0.586,8.004,February
425,1881,3,1,60,-0.405,8.185,March
426,1881,3,2,61,-0.298,8.292,March
427,1881,3,3,62,-0.406,8.184,March
428,1881,3,4,63,-0.294,8.296,March
429,1881,3,5,64,-0.298,8.292,March
430,1881,3,6,65,-0.194,8.395999999999999,March
431,1881,3,7,66,-0.041,8.549,March
432,1881,3,8,67,-0.026,8.564,March
433,1881,3,9,68,-0.027,8.563,March
434,1881,3,10,69,-0.038,8.552,March
435,1881,3,11,70,-0.124,8.466,March
436,1881,3,12,71,-0.196,8.394,March
437,1881,3,13,72,-0.307,8.283,March
438,1881,3,14,73,-0.569,8.021,March
439,1881,3,15,74,-0.694,7.896,March
440,1881,3,16,75,-0.531,8.059,March
441,1881,3,17,76,-0.434,8.156,March
442,1881,3,18,77,-0.374,8.216,March
443,1881,3,19,78,-0.323,8.267,March
444,1881,3,20,79,-0.358,8.232,March
445,1881,3,21,80,-0.55,8.04,March
446,1881,3,22,81,-0.281,8.309,March
447,1881,3,23,82,-0.305,8.285,March
448,1881,3,24,83,-0.127,8.463,March
449,1881,3,25,84,-0.162,8.427999999999999,March
450,1881,3,26,85,-0.145,8.445,March
451,1881,3,27,86,-0.151,8.439,March
452,1881,3,28,87,-0.222,8.368,March
